#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
1,El Club De Las Feas,Banda El Recodo,1/1/2006,120,81,70,-3,96,2:43,30,33,7276
2,El Año Viejo,Los Socios Del Ritmo,11/22/2019,81,91,67,-4,91,2:53,4,46,6752
3,Amor a Primera Vista,Los Angeles Azules,6/14/2019,170,76,66,-6,95,3:41,32,81,267
4,El Chico Del Apartamento 512,Selena,1994,102,65,76,-10,93,3:29,48,66,6664
5,Procura,ChiChi Peralta,7/1/1997,102,76,81,-7,97,4:33,31,13,1230
6,Pa' Olvidarme De Ella,Piso 21,9/6/2019,90,54,73,-5,64,3:47,26,87,8579
7,La Mejor De Todas,Banda El Recodo,1/1/2011,144,58,59,-5,90,3:27,45,71,6710
8,Alrededor del Árbol de Navidad,Banda Sinaloense MS de Sergio Lizárraga,11/29/2019,152,33,81,-7,77,2:05,4,54,1781
9,Como La Flor,Selena,1995,91,75,63,-8,87,3:05,16,65,6824
10,Ya Me Enteré,Los Angeles De Charly,10/4/2019,156,63,52,-4,43,2:38,1,55,291
11,Oye,La Sonora Dinamita,8/11/2015,112,76,81,-6,91,3:10,39,42,1426
12,El Baile Del Pingüino,Liberación,1/1/2001,102,80,75,-8,91,3:20,25,21,2513
13,Feliz Navidad,Margarita la diosa de la cumbia,11/22/2019,96,83,83,-5,71,4:23,8,29,7167
14,Eva María,Banda Maguey,1995,148,94,84,-5,98,2:48,33,48,8011
15,Me Volví A Acordar De Ti,Los Angeles De Charly,1/1/2009,146,58,66,-5,73,3:57,15,59,6219
16,Yo No Sé Mañana,Luis Enrique,5/19/2009,95,83,65,-3,73,4:20,65,76,8234
17,Mi Niña Mujer,Los Angeles Azules,2016,86,63,48,-4,81,3:14,41,69,7221
18,Ya Me Enteré,Chayín Rubio,5/11/2018,132,59,66,-4,69,3:09,84,77,4677
19,Que nadie sepa mi sufrir (Amor de mis amores),Margarita la diosa de la cumbia,10/26/2010,192,71,59,-6,96,4:19,14,58,7512
20,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,6/18/2018,124,48,71,-4,83,3:54,22,77,5762
