#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,Label
1,Solve,Behemoth,10/5/2018,116,74,36,-9,3,2:05,2,33,4506,0
2,Bartzabel,Behemoth,10/5/2018,109,91,47,-6,18,5:01,2,48,1056,0
3,Ora Pro Nobis Lucifer (Live),Behemoth,4/13/2018,172,96,18,-6,4,6:20,0,19,7333,0
4,Amen (Live),Behemoth,4/13/2018,128,97,24,-7,4,3:54,0,23,6829,0
5,The Satanist (Live),Behemoth,4/13/2018,112,89,32,-7,23,6:35,0,25,6663,0
6,Ben Sahar (Live),Behemoth,4/13/2018,111,90,24,-7,19,5:33,0,15,6352,0
7,In the Absence Ov Light (Live),Behemoth,4/13/2018,127,85,25,-8,11,4:54,0,13,7997,0
8,O Father O Satan O Sun! (Live),Behemoth,4/13/2018,84,81,16,-7,11,8:45,0,18,1126,0
9,System 11:11,Powerman 5000,1/1/1999,81,52,62,-15,59,0:48,78,25,8086,0
10,Kiss The Go-Goat,Ghost,9/13/2019,130,85,47,-4,55,3:16,0,64,746,0
11,The Bottom,Staind,9/13/2011,138,78,57,-4,41,4:16,0,39,685,0
12,Cars,Fear Factory,9/1/2009,128,88,68,-5,74,3:28,1,48,7637,0
13,Head Like A Hole,Nine Inch Nails,1/1/1989,115,83,67,-12,42,5:00,1,41,1713,0
14,Decompose,Wednesday 13,9/27/2019,134,82,39,-9,29,4:25,0,27,8869,0
15,Fall Again,Professional Murder Music,1/1/2001,93,86,39,-6,50,3:55,0,13,726,0
16,107,Orgy,9/29/2000,107,78,62,-6,32,4:14,0,24,1971,0
17,Spookshow Baby,Rob Zombie,1/1/1998,125,100,56,-3,14,3:38,1,45,5715,0
18,Consider This,Filter,4/14/1995,179,81,38,-11,33,4:19,0,25,2191,0
19,Stem,Static-X,3/19/1999,79,95,50,-6,24,2:55,0,37,5827,0
20,11th Hour,Lamb of God,5/5/2003,103,98,33,-4,20,3:44,0,39,1462,0
21,Jump,Powerman 5000,8/30/2011,135,97,44,-2,49,3:12,1,24,5899,0
22,Hate My Life,Theory of a Deadman,4/1/2008,126,83,51,-4,45,3:11,2,61,3355,0
23,The Thunder Rolls - Cover,All That Remains,4/28/2017,160,90,33,-5,23,4:23,0,59,4711,0
24,Bodies,Drowning Pool,1/1/2001,131,93,66,-3,53,3:22,0,73,1341,0
25,My Own Summer (Shove It),Deftones,10/27/1997,72,78,44,-4,37,3:35,0,68,2336,0
26,Cold,Static-X,5/22/2001,150,98,46,-3,72,3:39,0,56,7612,0
27,Sweet Dreams (Are Made Of This),Marilyn Manson,1995,186,66,22,-5,10,4:53,0,66,599,0
28,Redneck,Lamb of God,8/19/2006,131,100,51,-2,6,3:41,0,65,6395,0
29,Ov Fire And The Void,Behemoth,2009,130,98,47,-4,13,4:27,0,47,2587,0
30,Duality,Slipknot,2004,144,98,35,-3,19,4:13,0,78,6847,0
31,Thunder Kiss '65,White Zombie,1/1/1992,113,85,68,-10,51,3:54,0,64,9309,0
32,Linchpin,Fear Factory,4/16/2001,112,87,69,-3,53,3:25,0,60,9350,0
33,Living Dead Girl,Rob Zombie,1/1/1998,103,95,52,-6,55,3:21,1,65,1828,0
34,The Only,Static-X,10/7/2003,105,98,43,-3,29,2:51,0,63,45,0
35,Dig,Mudvayne,8/13/2000,135,98,62,-4,27,2:42,0,64,1819,0
36,Psychosocial,Slipknot,8/20/2008,135,98,57,-4,31,4:44,0,70,7445,0
37,Mudshovel,Staind,4/13/1999,107,83,33,-5,34,4:42,0,65,8992,0
38,Laid to Rest,Lamb of God,8/31/2004,104,96,37,-4,16,3:50,0,67,733,0
39,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,5/16/2000,142,85,27,-5,18,5:00,0,68,5277,0
40,You Spin Me Round (Like A Record),Dope,9/6/1999,129,88,60,-5,71,2:44,0,62,7926,0
41,Raining Blood,Slayer,1/1/1986,89,100,29,-4,4,4:14,0,64,977,0
42,New Disease,Spineshank,10/2/2000,122,91,57,-4,28,3:15,0,55,1267,0
43,Down with the Sickness,Disturbed,2/25/2000,90,88,70,-4,94,4:39,0,76,5006,0
44,I Stand Alone,Godsmack,4/8/2003,167,92,22,-4,38,4:06,0,69,3060,0
45,I'm with Stupid,Static-X,3/19/1999,138,98,55,-5,49,3:25,0,55,3195,0
46,Got the Life,Korn,8/18/1998,123,91,50,-6,58,3:45,0,70,5868,0
47,Roots Bloody Roots,Sepultura,2/20/1996,120,87,43,-7,26,3:32,0,62,9068,0
48,Jumpdafuckup,Soulfly,1/1/2000,101,95,60,-5,24,5:12,1,58,9871,0
49,Walk with Me In Hell,Lamb of God,8/19/2006,111,98,29,-4,12,5:12,0,61,7765,0
50,The Hand That Feeds,Nine Inch Nails,1/1/2005,128,99,59,-4,49,3:32,2,62,5245,0
51,Break Stuff,Limp Bizkit,1999,109,88,43,-7,62,2:47,1,73,9018,0
52,Stitches,Orgy,8/18/1998,97,92,46,-6,62,3:19,0,48,724,0
53,Superbeast,Rob Zombie,1/1/1998,154,98,52,-4,32,3:40,0,63,2718,0
54,Lucifer,Behemoth,2009,120,91,17,-5,4,8:07,0,35,4972,0
55,Capital M-E,Taking Back Sunday,5/29/2009,130,96,51,-5,64,2:48,0,35,3434,0
56,Twilight Of The Thunder God,Amon Amarth,9/30/2008,191,92,37,-5,28,4:09,0,66,847,0
57,Let It Go,Cavo,8/7/2009,141,94,44,-4,47,3:47,1,36,187,0
58,Meet The Creeper,Rob Zombie,1/1/1998,115,99,52,-5,39,3:13,0,48,2749,0
59,The Devil in I,Slipknot,10/15/2014,92,94,40,-3,24,5:43,1,73,695,0
60,Daimonos,Behemoth,2009,130,99,22,-4,4,5:15,0,33,7778,0
